"date","country","cum_new_ppl_fully_vaxxed","avg_new_confirmed","avg_new_deceased","cum_deceased"
"2020-05-30","Global",0.0,1.0387546468401487,0.017565055762081783,378
"2020-05-31","Global",0.0,1.030336408279407,0.01734820322180917,378
"2020-06-01","Global",0.0,1.0220328225587088,0.0172273098195666,380
"2020-06-02","Global",0.0,1.0150042549379674,0.017019751869933264,380
"2020-06-03","Global",0.0,1.006815365551425,0.016817135776243584,380
"2020-06-04","Global",0.0,1.0040673518478023,0.016619287120052482,380
"2020-06-05","Global",0.0,0.9996541886400968,0.016426039595400708,380
"2020-06-06","Global",0.0,0.9913258983890955,0.01640815280092296,384
"2020-06-07","Global",0.0,0.9856370395403853,0.01639067252450152,388
"2020-06-08","Global",0.0,0.9833340294891608,0.01620650766467566,388
"2020-06-09","Global",0.0,0.9853779429987608,0.0161090458488228,390
"2020-06-10","Global",0.0,0.98852077290739,0.016013726050900772,392
"2020-06-11","Global",0.0,0.9903022466461936,0.01583966381121707,392
"2020-06-12","Global",0.0,0.9909261702042611,0.015669344845505057,392
"2020-06-13","Global",0.0,0.9890848690975244,0.015581744839041367,394
"2020-06-14","Global",0.0,0.9865779690862845,0.015495989043240071,396
"2020-06-15","Global",0.0,0.9867565055762082,0.01533457249070632,396
"2020-06-16","Global",0.0,0.9900739661978308,0.01517648411451347,396
"2020-06-17","Global",0.0,0.9949927926560959,0.015021622031712313,396
"2020-06-18","Global",0.0,0.9989110435207089,0.01486988847583643,396
"2020-06-19","Global",0.0,1.002453531598513,0.014795539033457249,398
"2020-06-20","Global",0.0,1.0010673929846516,0.014722661857263793,400
"2020-06-21","Global",0.0,0.998906625847365,0.014578322035133756,400
"2020-06-22","Global",0.0,1.0071101165770382,0.014436784927996535,400
"2020-06-23","Global",0.0,1.0198741778667428,0.014297969688304261,400
"2020-06-24","Global",0.0,1.0360063728093467,0.014374225526641884,406
"2020-06-25","Global",0.0,1.0558322227677632,0.01444904257557691,412
"2020-06-26","Global",0.0,1.0647951916061564,0.014522461174999132,418
"2020-06-27","Global",0.0,1.0788930194134656,0.014525678094451329,422
"2020-06-28","Global",0.0,1.0904130145629412,0.014460625490262951,424
"2020-06-29","Global",0.0,1.1209192294694152,0.014329165258533288,424
"2020-06-30","Global",0.0,1.1534880605512576,0.014267055159248468,426
"2020-07-01","Global",0.0,1.191250663834307,0.014206054168879448,428
"2020-07-02","Global",0.0,1.2417672796657564,0.014080336875349542,428
"2020-07-03","Global",0.0,1.2846801017413423,0.014022043957477337,430
"2020-07-04","Global",0.0,1.3216744787457573,0.014158719896557297,438
"2020-07-05","Global",0.0,1.357582361235739,0.014100756313293168,440
"2020-07-06","Global",0.0,1.4134655101197853,0.014297969688304261,450
"2020-07-07","Global",0.0,1.4830823514586353,0.014302816457690127,454
"2020-07-08","Global",0.0,1.5475930149011279,0.014307581768766986,458
"2020-07-09","Global",0.0,1.6189591078066914,0.014374225526641884,464
"2020-07-10","Global",0.0,1.6908046330148392,0.014316876094503671,466
"2020-07-11","Global",0.0,1.745566457431897,0.014260466816990676,468
"2020-07-12","Global",0.0,1.7987729319672379,0.01438631486686614,476
"2020-07-13","Global",0.0,1.8869168965103729,0.014390214654035257,480
