"country","perc_ppl_fully_vaxxed"
"United States of America",67.82545273103692
"United Kingdom",61.21138844256433
"Seychelles",60.296272344209456
"Palau",49.896976109595144
"United Arab Emirates",37.738003720220405
"Chile",35.060172434058664
"Maldives",29.367977344800135
"San Marino",29.053088917985953
"Spain",23.781789523459697
"Bahrain",23.640232146959814
